INPUT:image	OUTPUT:result	CONFIDENCE:result	
/car-numbers-1/train_unlabelled/3377.png	no	98.65%	
/car-numbers-1/train_unlabelled/4549.png	no	98.67%	
/car-numbers-1/train_unlabelled/1905.png	no	98.78%	
/car-numbers-1/train_unlabelled/5618.png	no	99.95%	
/car-numbers-1/train_unlabelled/961.png	no	99.99%	
/car-numbers-1/train_unlabelled/5602.png	no	99.99%	
/car-numbers-1/train_unlabelled/2038.png	no	99.95%	
/car-numbers-1/train_unlabelled/1647.png	no	98.83%	
/car-numbers-1/train_unlabelled/5813.png	no	99.95%	
/car-numbers-1/train_unlabelled/2306.png	no	98.80%	
/car-numbers-1/train_unlabelled/3728.png	no	98.83%	
/car-numbers-1/train_unlabelled/2726.png	no	98.78%	
/car-numbers-1/train_unlabelled/3691.png	no	98.83%	
/car-numbers-1/train_unlabelled/4361.png	no	98.78%	
/car-numbers-1/train_unlabelled/1004.png	no	99.96%	
/car-numbers-1/train_unlabelled/887.png	no	99.99%	
/car-numbers-1/train_unlabelled/1389.png	no	99.95%	
/car-numbers-1/train_unlabelled/3481.png	no	99.99%	
/car-numbers-1/train_unlabelled/3674.png	no	98.73%	
/car-numbers-1/train_unlabelled/4106.png	no	98.71%	
/car-numbers-1/train_unlabelled/5667.png	yes	100.00%	
/car-numbers-1/train_unlabelled/2870.png	no	98.83%	
/car-numbers-1/train_unlabelled/1469.png	no	99.99%	
/car-numbers-1/train_unlabelled/1385.png	no	98.83%	
/car-numbers-1/train_unlabelled/2220.png	no	98.78%	
/car-numbers-1/train_unlabelled/3264.png	no	98.83%	
/car-numbers-1/train_unlabelled/1678.png	no	98.79%	
/car-numbers-1/train_unlabelled/2944.png	no	84.41%	
/car-numbers-1/train_unlabelled/3047.png	yes	99.99%	
/car-numbers-1/train_unlabelled/807.png	no	99.99%	
/car-numbers-1/train_unlabelled/3245.png	no	99.99%	
/car-numbers-1/train_unlabelled/2256.png	no	99.99%	
/car-numbers-1/train_unlabelled/5126.png	no	98.83%	
/car-numbers-1/train_unlabelled/5422.png	yes	100.00%	
/car-numbers-1/train_unlabelled/2778.png	yes	99.99%	
/car-numbers-1/train_unlabelled/2503.png	no	99.99%	
/car-numbers-1/train_unlabelled/4404.png	no	99.99%	
/car-numbers-1/train_unlabelled/4059.png	no	99.99%	
/car-numbers-1/train_unlabelled/4663.png	no	70.05%	
/car-numbers-1/train_unlabelled/5113.png	no	99.95%	
/car-numbers-1/train_unlabelled/703.png	no	98.78%	
/car-numbers-1/train_unlabelled/5786.png	no	99.99%	
/car-numbers-1/train_unlabelled/1590.png	no	98.71%	
/car-numbers-1/train_unlabelled/4272.png	no	99.99%	
/car-numbers-1/train_unlabelled/4430.png	no	99.99%	
/car-numbers-1/train_unlabelled/5314.png	no	99.99%	
/car-numbers-1/train_unlabelled/1937.png	no	99.95%	
/car-numbers-1/train_unlabelled/5689.png	no	99.94%	
/car-numbers-1/train_unlabelled/4349.png	no	98.79%	
/car-numbers-1/train_unlabelled/5134.png	no	99.95%	
/car-numbers-1/train_unlabelled/932.png	no	99.95%	
/car-numbers-1/train_unlabelled/3675.png	no	98.73%	
/car-numbers-1/train_unlabelled/1800.png	no	98.89%	
/car-numbers-1/train_unlabelled/1998.png	no	98.83%	
/car-numbers-1/train_unlabelled/1589.png	no	98.78%	
/car-numbers-1/train_unlabelled/5827.png	no	99.95%	
/car-numbers-1/train_unlabelled/2327.png	no	84.86%	
/car-numbers-1/train_unlabelled/3908.png	yes	100.00%	
/car-numbers-1/train_unlabelled/4313.png	no	98.54%	
/car-numbers-1/train_unlabelled/4085.png	no	99.95%	
/car-numbers-1/train_unlabelled/4187.png	no	99.95%	
/car-numbers-1/train_unlabelled/2442.png	no	98.78%	
/car-numbers-1/train_unlabelled/1423.png	no	99.99%	
/car-numbers-1/train_unlabelled/1769.png	no	98.71%	
/car-numbers-1/train_unlabelled/973.png	no	99.99%	
/car-numbers-1/train_unlabelled/5311.png	yes	100.00%	
/car-numbers-1/train_unlabelled/3136.png	no	99.99%	
/car-numbers-1/train_unlabelled/5639.png	no	84.80%	
/car-numbers-1/train_unlabelled/1106.png	no	99.99%	
/car-numbers-1/train_unlabelled/993.png	no	99.99%	
/car-numbers-1/train_unlabelled/4304.png	no	99.99%	
/car-numbers-1/train_unlabelled/2643.png	no	98.90%	
/car-numbers-1/train_unlabelled/1623.png	no	99.99%	
/car-numbers-1/train_unlabelled/4086.png	no	99.99%	
/car-numbers-1/train_unlabelled/4612.png	no	98.94%	
/car-numbers-1/train_unlabelled/1108.png	no	99.99%	
/car-numbers-1/train_unlabelled/4891.png	no	100.00%	
/car-numbers-1/train_unlabelled/4777.png	no	99.97%	
/car-numbers-1/train_unlabelled/5345.png	no	99.73%	
/car-numbers-1/train_unlabelled/2383.png	no	99.99%	
/car-numbers-1/train_unlabelled/1114.png	no	98.68%	
/car-numbers-1/train_unlabelled/5888.png	no	99.99%	
/car-numbers-1/train_unlabelled/1641.png	no	99.85%	
/car-numbers-1/train_unlabelled/4542.png	no	98.72%	
/car-numbers-1/train_unlabelled/1484.png	no	99.99%	
/car-numbers-1/train_unlabelled/3155.png	no	99.99%	
/car-numbers-1/train_unlabelled/3482.png	no	99.99%	
/car-numbers-1/train_unlabelled/3470.png	no	99.99%	
/car-numbers-1/train_unlabelled/2635.png	no	99.99%	
/car-numbers-1/train_unlabelled/5226.png	no	99.99%	
/car-numbers-1/train_unlabelled/5510.png	no	99.99%	
/car-numbers-1/train_unlabelled/5043.png	no	99.99%	
/car-numbers-1/train_unlabelled/2069.png	yes	100.00%	
/car-numbers-1/train_unlabelled/2315.png	no	98.77%	
/car-numbers-1/train_unlabelled/4718.png	no	99.95%	
/car-numbers-1/train_unlabelled/5165.png	no	99.95%	
/car-numbers-1/train_unlabelled/2124.png	no	98.82%	
/car-numbers-1/train_unlabelled/2794.png	no	98.64%	
/car-numbers-1/train_unlabelled/2485.png	no	98.79%	
/car-numbers-1/train_unlabelled/5818.png	no	98.78%	
/car-numbers-1/train_unlabelled/2159.png	no	99.99%	
/car-numbers-1/train_unlabelled/628.png	no	99.33%	
/car-numbers-1/train_unlabelled/2376.png	no	98.77%	
/car-numbers-1/train_unlabelled/2819.png	no	99.95%	
/car-numbers-1/train_unlabelled/5737.png	no	98.77%	
/car-numbers-1/train_unlabelled/4914.png	no	99.33%	
/car-numbers-1/train_unlabelled/4782.png	yes	100.00%	
/car-numbers-1/train_unlabelled/3094.png	yes	100.00%	
/car-numbers-1/train_unlabelled/1659.png	no	99.29%	
/car-numbers-1/train_unlabelled/1858.png	no	98.74%	
/car-numbers-1/train_unlabelled/2420.png	no	99.99%	
/car-numbers-1/train_unlabelled/3425.png	no	99.99%	
/car-numbers-1/train_unlabelled/2150.png	no	98.77%	
/car-numbers-1/train_unlabelled/1957.png	no	98.83%	
/car-numbers-1/train_unlabelled/5885.png	no	99.99%	
/car-numbers-1/train_unlabelled/2296.png	no	99.99%	
/car-numbers-1/train_unlabelled/2083.png	no	99.99%	
/car-numbers-1/train_unlabelled/1134.png	yes	100.00%	
/car-numbers-1/train_unlabelled/3814.png	no	99.99%	
/car-numbers-1/train_unlabelled/1263.png	no	99.99%	
/car-numbers-1/train_unlabelled/2275.png	no	99.99%	
/car-numbers-1/train_unlabelled/5645.png	no	99.99%	
/car-numbers-1/train_unlabelled/1803.png	no	99.99%	
/car-numbers-1/train_unlabelled/2003.png	no	98.77%	
/car-numbers-1/train_unlabelled/4725.png	no	98.65%	
/car-numbers-1/train_unlabelled/1667.png	no	99.99%	
/car-numbers-1/train_unlabelled/4722.png	no	98.94%	
/car-numbers-1/train_unlabelled/1370.png	no	98.71%	
/car-numbers-1/train_unlabelled/1203.png	no	99.86%	
/car-numbers-1/train_unlabelled/1250.png	no	98.06%	
/car-numbers-1/train_unlabelled/2658.png	no	99.99%	
/car-numbers-1/train_unlabelled/2026.png	no	99.99%	
/car-numbers-1/train_unlabelled/1209.png	no	99.95%	
/car-numbers-1/train_unlabelled/2539.png	no	99.95%	
/car-numbers-1/train_unlabelled/2831.png	no	99.97%	
/car-numbers-1/train_unlabelled/5029.png	no	98.83%	
/car-numbers-1/train_unlabelled/2210.png	no	98.80%	
/car-numbers-1/train_unlabelled/3929.png	no	98.83%	
/car-numbers-1/train_unlabelled/4329.png	no	98.83%	
/car-numbers-1/train_unlabelled/4999.png	no	86.15%	
/car-numbers-1/train_unlabelled/1990.png	no	99.99%	
/car-numbers-1/train_unlabelled/1321.png	no	98.05%	
/car-numbers-1/train_unlabelled/1504.png	no	98.83%	
/car-numbers-1/train_unlabelled/2905.png	no	98.77%	
/car-numbers-1/train_unlabelled/5344.png	no	98.77%	
/car-numbers-1/train_unlabelled/1197.png	no	99.32%	
/car-numbers-1/train_unlabelled/2183.png	no	98.06%	
/car-numbers-1/train_unlabelled/649.png	no	99.99%	
/car-numbers-1/train_unlabelled/1624.png	no	99.99%	
/car-numbers-1/train_unlabelled/1943.png	no	99.14%	
/car-numbers-1/train_unlabelled/3191.png	no	99.89%	
/car-numbers-1/train_unlabelled/5146.png	no	100.00%	
/car-numbers-1/train_unlabelled/4753.png	yes	100.00%	
/car-numbers-1/train_unlabelled/4906.png	yes	100.00%	
/car-numbers-1/train_unlabelled/619.png	no	99.33%	
/car-numbers-1/train_unlabelled/3894.png	yes	99.99%	
/car-numbers-1/train_unlabelled/684.png	no	99.14%	
/car-numbers-1/train_unlabelled/2326.png	no	98.79%	
/car-numbers-1/train_unlabelled/956.png	no	98.81%	
/car-numbers-1/train_unlabelled/5005.png	no	99.99%	
/car-numbers-1/train_unlabelled/4808.png	no	98.80%	
/car-numbers-1/train_unlabelled/1479.png	no	98.81%	
/car-numbers-1/train_unlabelled/1157.png	no	98.79%	
/car-numbers-1/train_unlabelled/2398.png	no	98.77%	
/car-numbers-1/train_unlabelled/1309.png	yes	99.99%	
/car-numbers-1/train_unlabelled/2856.png	no	99.99%	
/car-numbers-1/train_unlabelled/4960.png	no	99.99%	
/car-numbers-1/train_unlabelled/4882.png	no	98.80%	
/car-numbers-1/train_unlabelled/1798.png	no	99.99%	
/car-numbers-1/train_unlabelled/3304.png	no	99.99%	
/car-numbers-1/train_unlabelled/1578.png	no	99.99%	
/car-numbers-1/train_unlabelled/4879.png	no	100.00%	
/car-numbers-1/train_unlabelled/4553.png	no	99.99%	
/car-numbers-1/train_unlabelled/2626.png	no	100.00%	
/car-numbers-1/train_unlabelled/1693.png	no	99.99%	
/car-numbers-1/train_unlabelled/3370.png	no	99.99%	
/car-numbers-1/train_unlabelled/3960.png	no	99.99%	
/car-numbers-1/train_unlabelled/5426.png	_404	91.84%	
/car-numbers-1/train_unlabelled/1530.png	no	99.99%	
/car-numbers-1/train_unlabelled/3180.png	no	98.83%	
/car-numbers-1/train_unlabelled/2982.png	no	99.14%	
/car-numbers-1/train_unlabelled/4526.png	no	99.95%	
/car-numbers-1/train_unlabelled/2785.png	no	99.09%	
/car-numbers-1/train_unlabelled/1928.png	no	98.77%	
/car-numbers-1/train_unlabelled/4513.png	no	99.09%	
/car-numbers-1/train_unlabelled/4823.png	no	98.83%	
/car-numbers-1/train_unlabelled/1817.png	no	99.95%	
/car-numbers-1/train_unlabelled/3637.png	no	99.95%	
/car-numbers-1/train_unlabelled/873.png	no	98.83%	
/car-numbers-1/train_unlabelled/4324.png	no	98.83%	
/car-numbers-1/train_unlabelled/785.png	no	98.80%	
/car-numbers-1/train_unlabelled/2043.png	no	99.13%	
/car-numbers-1/train_unlabelled/4084.png	no	99.22%	
/car-numbers-1/train_unlabelled/3661.png	no	98.80%	
/car-numbers-1/train_unlabelled/4953.png	no	98.83%	
/car-numbers-1/train_unlabelled/3217.png	yes	100.00%	
/car-numbers-1/train_unlabelled/1710.png	yes	99.99%	
/car-numbers-1/train_unlabelled/3296.png	no	98.57%	
/car-numbers-1/train_unlabelled/4732.png	no	99.99%	
/car-numbers-1/train_unlabelled/2344.png	no	99.99%	
/car-numbers-1/train_unlabelled/4170.png	no	98.74%	
/car-numbers-1/train_unlabelled/1652.png	yes	100.00%	
/car-numbers-1/train_unlabelled/5583.png	no	98.76%	
/car-numbers-1/train_unlabelled/1403.png	yes	100.00%	
/car-numbers-1/train_unlabelled/4834.png	no	99.99%	
/car-numbers-1/train_unlabelled/2165.png	no	98.94%	
/car-numbers-1/train_unlabelled/4461.png	yes	100.00%	
/car-numbers-1/train_unlabelled/5697.png	yes	100.00%	
/car-numbers-1/train_unlabelled/3278.png	no	99.95%	
/car-numbers-1/train_unlabelled/3251.png	no	98.94%	
/car-numbers-1/train_unlabelled/847.png	no	98.94%	
/car-numbers-1/train_unlabelled/5925.png	no	98.89%	
/car-numbers-1/train_unlabelled/4531.png	no	96.22%	
/car-numbers-1/train_unlabelled/981.png	no	99.95%	
/car-numbers-1/train_unlabelled/4852.png	no	98.94%	
/car-numbers-1/train_unlabelled/3282.png	no	98.80%	
/car-numbers-1/train_unlabelled/4984.png	no	98.78%	
/car-numbers-1/train_unlabelled/2629.png	no	99.99%	
/car-numbers-1/train_unlabelled/3938.png	no	98.76%	
/car-numbers-1/train_unlabelled/3761.png	no	98.94%	
/car-numbers-1/train_unlabelled/2368.png	no	98.81%	
/car-numbers-1/train_unlabelled/1237.png	no	99.70%	
/car-numbers-1/train_unlabelled/1377.png	no	98.06%	
/car-numbers-1/train_unlabelled/3727.png	no	98.78%	
/car-numbers-1/train_unlabelled/5024.png	no	99.99%	
/car-numbers-1/train_unlabelled/1644.png	no	99.95%	
/car-numbers-1/train_unlabelled/4543.png	no	99.99%	
/car-numbers-1/train_unlabelled/5417.png	no	99.81%	
/car-numbers-1/train_unlabelled/702.png	no	99.99%	
/car-numbers-1/train_unlabelled/1805.png	no	100.00%	
/car-numbers-1/train_unlabelled/2913.png	no	99.99%	
/car-numbers-1/train_unlabelled/1796.png	no	98.76%	
/car-numbers-1/train_unlabelled/1069.png	no	72.32%	
/car-numbers-1/train_unlabelled/3452.png	no	100.00%	
/car-numbers-1/train_unlabelled/2169.png	yes	100.00%	
/car-numbers-1/train_unlabelled/5102.png	no	99.99%	
/car-numbers-1/train_unlabelled/4602.png	no	99.99%	
/car-numbers-1/train_unlabelled/967.png	no	98.76%	
/car-numbers-1/train_unlabelled/5691.png	no	98.83%	
/car-numbers-1/train_unlabelled/1104.png	no	98.83%	
/car-numbers-1/train_unlabelled/912.png	no	99.99%	
/car-numbers-1/train_unlabelled/3946.png	no	98.71%	
/car-numbers-1/train_unlabelled/1665.png	no	99.99%	
/car-numbers-1/train_unlabelled/4176.png	no	99.99%	
/car-numbers-1/train_unlabelled/984.png	no	99.99%	
/car-numbers-1/train_unlabelled/1552.png	no	99.99%	
/car-numbers-1/train_unlabelled/4081.png	no	99.33%	
/car-numbers-1/train_unlabelled/1078.png	no	99.99%	
/car-numbers-1/train_unlabelled/4011.png	no	98.77%	
/car-numbers-1/train_unlabelled/2055.png	no	98.83%	
/car-numbers-1/train_unlabelled/5569.png	no	99.99%	
/car-numbers-1/train_unlabelled/4186.png	no	98.83%	
/car-numbers-1/train_unlabelled/1735.png	no	99.13%	
/car-numbers-1/train_unlabelled/4482.png	no	99.99%	
/car-numbers-1/train_unlabelled/4540.png	yes	100.00%	
/car-numbers-1/train_unlabelled/4737.png	no	98.83%	
/car-numbers-1/train_unlabelled/1971.png	no	99.99%	
/car-numbers-1/train_unlabelled/4466.png	no	99.14%	
/car-numbers-1/train_unlabelled/4913.png	no	99.99%	
/car-numbers-1/train_unlabelled/1021.png	yes	100.00%	
/car-numbers-1/train_unlabelled/4987.png	no	99.99%	
/car-numbers-1/train_unlabelled/721.png	no	99.99%	
/car-numbers-1/train_unlabelled/4037.png	yes	100.00%	
/car-numbers-1/train_unlabelled/4314.png	no	99.99%	
/car-numbers-1/train_unlabelled/4229.png	no	99.99%	
/car-numbers-1/train_unlabelled/1459.png	no	99.99%	
/car-numbers-1/train_unlabelled/622.png	yes	100.00%	
/car-numbers-1/train_unlabelled/3628.png	no	99.99%	
/car-numbers-1/train_unlabelled/1582.png	no	99.99%	
/car-numbers-1/train_unlabelled/5163.png	no	99.99%	
/car-numbers-1/train_unlabelled/4580.png	no	98.64%	
/car-numbers-1/train_unlabelled/5003.png	no	99.99%	
/car-numbers-1/train_unlabelled/3903.png	no	99.99%	
/car-numbers-1/train_unlabelled/1753.png	no	99.99%	
/car-numbers-1/train_unlabelled/632.png	no	99.99%	
/car-numbers-1/train_unlabelled/3563.png	no	98.83%	
/car-numbers-1/train_unlabelled/1728.png	no	98.83%	
/car-numbers-1/train_unlabelled/4317.png	no	98.77%	
/car-numbers-1/train_unlabelled/5627.png	no	98.80%	
/car-numbers-1/train_unlabelled/910.png	no	99.14%	
/car-numbers-1/train_unlabelled/2970.png	no	99.13%	
/car-numbers-1/train_unlabelled/5067.png	no	99.13%	
/car-numbers-1/train_unlabelled/4111.png	no	99.13%	
/car-numbers-1/train_unlabelled/4921.png	no	98.77%	
/car-numbers-1/train_unlabelled/3014.png	no	97.96%	
/car-numbers-1/train_unlabelled/3624.png	no	98.77%	
/car-numbers-1/train_unlabelled/1267.png	no	99.32%	
/car-numbers-1/train_unlabelled/1960.png	no	99.33%	
/car-numbers-1/train_unlabelled/4880.png	_404	99.99%	
/car-numbers-1/train_unlabelled/4648.png	no	98.73%	
/car-numbers-1/train_unlabelled/4966.png	no	98.83%	
/car-numbers-1/train_unlabelled/3320.png	no	98.78%	
/car-numbers-1/train_unlabelled/4993.png	no	98.78%	
/car-numbers-1/train_unlabelled/2221.png	no	98.20%	
/car-numbers-1/train_unlabelled/4701.png	no	98.76%	
/car-numbers-1/train_unlabelled/2258.png	no	98.82%	
/car-numbers-1/train_unlabelled/3128.png	no	98.81%	
/car-numbers-1/train_unlabelled/2212.png	no	99.95%	
/car-numbers-1/train_unlabelled/4092.png	no	98.82%	
/car-numbers-1/train_unlabelled/5139.png	no	98.00%	
/car-numbers-1/train_unlabelled/4571.png	no	99.92%	
/car-numbers-1/train_unlabelled/2718.png	no	98.83%	
/car-numbers-1/train_unlabelled/4454.png	no	99.23%	
/car-numbers-1/train_unlabelled/3710.png	no	99.95%	
/car-numbers-1/train_unlabelled/3947.png	no	97.90%	
/car-numbers-1/train_unlabelled/2884.png	no	97.97%	
/car-numbers-1/train_unlabelled/4910.png	no	98.75%	
/car-numbers-1/train_unlabelled/1723.png	no	99.95%	
/car-numbers-1/train_unlabelled/928.png	no	98.78%	
/car-numbers-1/train_unlabelled/2460.png	no	99.99%	
/car-numbers-1/train_unlabelled/2919.png	no	98.81%	
/car-numbers-1/train_unlabelled/3151.png	no	99.95%	
/car-numbers-1/train_unlabelled/3546.png	no	99.96%	
/car-numbers-1/train_unlabelled/3528.png	no	99.97%	
/car-numbers-1/train_unlabelled/5662.png	no	99.95%	
/car-numbers-1/train_unlabelled/5335.png	no	98.83%	
/car-numbers-1/train_unlabelled/2807.png	yes	100.00%	
/car-numbers-1/train_unlabelled/1395.png	no	99.33%	
/car-numbers-1/train_unlabelled/4541.png	no	99.23%	
/car-numbers-1/train_unlabelled/4971.png	no	98.68%	
/car-numbers-1/train_unlabelled/2792.png	no	99.56%	
/car-numbers-1/train_unlabelled/1497.png	no	99.23%	
/car-numbers-1/train_unlabelled/1683.png	no	99.99%	
/car-numbers-1/train_unlabelled/4267.png	no	99.99%	
/car-numbers-1/train_unlabelled/882.png	no	99.33%	
/car-numbers-1/train_unlabelled/2749.png	no	98.94%	
/car-numbers-1/train_unlabelled/5568.png	no	98.94%	
/car-numbers-1/train_unlabelled/4657.png	no	99.99%	
/car-numbers-1/train_unlabelled/5597.png	no	99.99%	
/car-numbers-1/train_unlabelled/1612.png	no	75.24%	
/car-numbers-1/train_unlabelled/681.png	no	99.95%	
/car-numbers-1/train_unlabelled/1329.png	no	99.40%	
/car-numbers-1/train_unlabelled/4995.png	no	99.99%	
